function	l10	l20	l50	l100	l200	l250	l300	l400	l10	l20	l50	l100	l200	l250	l300	l400
1	1.8423386333	3.2243949	0.1383542033	0.07500933	0.0562853667	0.04558965	0.048345409	0.0557431933	1.7175927333	1.4021516333	0.13905371	0.05715525	0.0452374033	0.04268961	0.0408336903	0.0371358233
2	59852.0703333333	51245.2406666667	4089.3933666667	2021.3715	1402.5620566667	1107.9596333333	1302.6123333333	1480.3781333333	50750.538	26259.6193333333	3261.5457666667	1528.9401666667	1069.9434	854.4912333333	1011.4545633333	813.8342133333
3	100.64477	82.0559933333	24.3987156667	13.3892096667	11.166913	10.9067123333	9.393097	10.209584	85.6448266667	71.4746266667	21.62817	13.1625113333	8.393915	8.1518486667	7.60948	7.3472863333
4	90.5614633333	77.58302	25.4913033333	18.3408833333	13.297336	14.5941566667	13.9832886667	14.909195	73.31155	58.3585	24.7840433333	17.33919	12.8050113333	11.9139873333	10.956306	10.8549853333
5	-7.11E-015	-7.11E-015	-7.11E-015	-7.11E-015	-7.11E-015	-7.11E-015	-7.11E-015	-7.11E-015	-7.11E-015	-7.11E-015	-7.11E-015	-7.11E-015	-7.11E-015	-7.11E-015	-7.11E-015	-7.11E-015
6	3933.175	3978.3593333333	3809.676	3249.8516666667	2791.2781333333	2789.8793333333	2682.9291333333	2159.9677	3925.2326666667	3669.864	3397.6118	2986.8273333333	2469.3047333333	2097.0828666667	1986.4912333333	2267.2265666667
7	1905.7269333333	2141.574	1189.8215	868.5880333333	655.1206766667	931.6835666667	601.1279666667	602.7711366667	2270.4810666667	2346.665	1663.2315666667	1106.1898	664.76799	559.5182766667	608.4899666667	389.5485933333
8	3040.5064666667	1378.9298333333	44.2000733333	26.1372846667	22.2065653333	17.3356646667	19.0160763333	19.4638583333	1843.0728766667	1058.4617533333	39.95992	15.933594	9.7917453333	8.7753833333	7.432599	9.275913
9	167528.929633333	97047.4605666667	1575.06603	92.1834893333	237.7923166667	930.591194	336.678819	837.86669	131394.0294	100197.6022	862.404009	49.0700333333	74.952373	328.220221	56.3657976667	100.5662563333
10	1553549.76666667	1500178	1688832.7	1583288.63333333	1344918.13333333	1318481.03333333	1258886.5	1334041.93333333	1547488.4	1582425.96666667	1667771.1	1494624.36666667	1359907.56666667	1209124.33333333	1437349.16666667	1307673.7
11	4421.1346666667	4004.862	4374.8383333333	4490.1173333333	4409.655	4406.826	4516.8396666667	4534.793	4018.7676666667	4178.7208666667	4172.2956666667	4406.2013333333	4208.7786666667	4868.797	4179.26	4823.827
12	3.07E+008	3.72E+008	2.96E+007	2027112.63333333	915988.026666667	1435047.41	1418643.44333333	1672194.10333333	3.05E+008	2.46E+008	1.25E+007	1166202.06666667	883940.343333333	700993.8	744181.54	611299.916666667
13	1787.3862666667	1601.1099	390.6767666667	137.53733	94.21649	79.29291	88.3505733333	78.0866466667	1674.0123666667	1487.0281666667	377.2251666667	128.1708266667	75.22463	71.04429	58.3572433333	50.8843866667
14	174.85057	177.49935	123.9566533333	51.4747833333	27.7652423333	24.968436	38.3813923667	33.202444	139.0500633333	164.0032566667	120.289226	55.6928375	24.7307196333	22.6487074	20.6419731333	20.4145744333
15	1164.7458333333	890.9207	248.2682	152.2413933333	115.1205966667	109.5380833333	105.5255166667	107.5167066667	986.5474	1003.3697666667	264.7985	140.9667066667	112.3826633333	97.7917333333	103.8090733333	99.8848466667
16	43.4168666667	41.4767566667	18.9887093333	10.562026	9.294786	9.053461	8.1638223333	8.0633656667	37.7889533333	40.4574466667	20.389764	11.625259	9.123243	7.8861583333	7.799286	7.4911693333
17	20.559187	13.1432383333	3.3521136667	2.4118416667	2.147677	1.9853119333	2.1808703333	2.1039266667	17.3633416667	9.6272706667	3.198244	2.0687816	1.8609648667	2.1010755333	1.8983436333	1.9462334333
18	112.1821666667	76.0758066667	16.0678666667	8.7398973333	8.5172333333	8.4399046667	8.262177	7.996768	72.6859133333	79.2793533333	15.842267	9.110085	6.897455	5.7024153333	7.9331513333	6.4118256667
19	76.3654566667	47.7348983333	8.24742	6.2692786667	5.9140033333	6.0230806667	5.6885606667	5.7252753333	47.5739766667	42.307458	8.479131	6.4190466667	5.7681876667	5.526677	5.9731056667	5.5749
20	6146.7809983333	8715.929223	1.644586	1.1569986333	1.0131946667	0.9791025	0.9807139	0.9656129667	7282.462023	4223.160766	1.5342313333	1.1347717667	0.913145	0.86593	0.8025303	0.7732862
21	15.2908593333	12.687901	3.0333470333	1.3945799433	0.8625935967	1.0715869667	0.6738711298	0.897334589	12.617452	10.857563	2.5996851667	0.9843871333	0.6978302653	0.7280210667	0.692908391	0.595576836
22	12.2170783333	9.7815773333	1.9511525667	1.2040061733	1.0336906797	0.8709717567	0.7569221433	0.7628394967	7.7117458	10.3154533333	2.1291196667	0.9975417633	0.8259496633	0.76085928	0.7365525363	0.5707731967
23	6.5422693333	6.9878456667	2.882182	1.6741909	1.2705727333	1.3206173333	1.260926	1.1989925667	6.1224003333	5.9456013333	2.7471526667	1.7088877333	1.3061969667	1.1980211	1.1508668	1.1346321333
24	120.7192333333	113.35268	64.1260633333	58.3176966667	59.4275066667	56.1084733333	56.61169	56.0583166667	109.79301	108.8717733333	64.70484	57.58285	56.4369666667	54.58277	54.3107466667	52.3889133333
