runId	fit_min	fit_max	fit_avg	fit_std
1	119.473	3.1041e+007	2.47337e+006	8.14925e+006
2	56.9369	5.22426e+007	3.08757e+006	1.14755e+007
3	119.002	4.41778e+007	1.78858e+006	7.17457e+006
4	114.091	3.64223e+007	2.29706e+006	7.5575e+006
5	112.714	5.60621e+007	2.96137e+006	1.03327e+007
6	72.307	3.73052e+007	1.67689e+006	6.50814e+006
7	97.6131	3.8982e+007	2.31169e+006	7.87203e+006
8	113.182	3.68154e+007	2.19139e+006	7.35505e+006
9	103.331	2.85775e+007	1.44253e+006	5.15083e+006
10	72.731	2.86466e+007	1.58629e+006	5.45732e+006
11	83.8384	5.1268e+007	2.56302e+006	8.85724e+006
12	122.382	2.94844e+007	1.94383e+006	6.42321e+006
13	90.4505	4.19412e+007	1.6635e+006	6.64884e+006
14	110.001	4.43539e+007	2.00395e+006	7.52891e+006
15	108.098	4.56749e+007	2.17565e+006	7.68841e+006
16	112.73	3.20889e+007	1.96914e+006	6.63471e+006
17	107.167	4.14182e+007	2.11999e+006	7.49526e+006
18	71.3277	1.21438e+007	984954	3.08037e+006
19	109.998	3.94437e+007	2.87138e+006	9.13645e+006
20	76.7827	3.46506e+007	1.97519e+006	6.53084e+006
21	62.3907	5.14704e+007	2.62142e+006	9.27083e+006
22	69.4067	3.91164e+007	2.22261e+006	7.33086e+006
23	109.391	4.29717e+007	2.12946e+006	7.70228e+006
24	109.871	3.00158e+007	1.89913e+006	6.15183e+006
25	104.492	7.29433e+007	2.99358e+006	1.24277e+007
26	84.9002	4.89039e+007	2.4457e+006	8.56902e+006
27	63.0682	4.62265e+007	2.43794e+006	8.81591e+006
28	141.268	5.35783e+007	1.74651e+006	8.05229e+006
29	113.943	5.20263e+007	3.34734e+006	1.0811e+007
30	130.27	7.5822e+007	3.95971e+006	1.38828e+007
