runId	fit_min	fit_max	fit_avg	fit_std
1	1660.78	110266	9257.96	21466.5
2	691.174	122418	9134.56	22729.5
3	1499.39	117728	10293.6	25156.8
4	1114.78	251447	18806.8	55160.4
5	827.963	112665	10448.1	24815
6	946.003	98223.9	10171.5	23260.2
7	1653.29	242316	12949.9	37946.8
8	678.575	276712	12997.6	41345.8
9	1567.21	145736	10321.6	26225.2
10	1318.25	219431	14582.2	41039.6
11	1620.81	179503	12692.9	34942.7
12	914.001	200006	11298.7	33623.2
13	1360.2	175106	12226.3	31575.3
14	894.772	150907	12829.1	33012.7
15	1035.59	206736	13372.3	37200.8
16	519.608	251511	14147.1	42136.7
17	1023.04	157266	11108.8	29362.5
18	1005.89	135166	10563.5	26934.4
19	1090.03	282124	16437.9	55264.9
20	1022.6	155265	11934.2	30568
21	1565.45	117684	11269.2	26655.3
22	851.311	144960	11373.3	27935.6
23	1166.25	139782	9066.91	23645.8
24	602.537	155916	11490.2	28423
25	531.559	136790	11527.3	29028.8
26	1010.25	196138	12343.4	35629.2
27	525.917	167793	12966.2	33199.6
28	1048.69	71536.5	6791.78	14295.3
29	1555.36	128083	11050	26523.9
30	1125.19	138409	10530.4	27984.7
