runId	fit_min	fit_max	fit_avg	fit_std
1	19.18	8923.65	601.878	1858.78
2	16.6432	11152.2	723.355	2320.96
3	28.6803	10465.4	803.991	2328.96
4	27.1561	7036.32	506.269	1451.8
5	31.6399	8250.5	657.103	1862.13
6	28.1147	7623.29	582.8	1679.63
7	20.4536	9664.74	760.915	2234.58
8	28.3245	9277.58	813.644	2329.36
9	22.7543	9262.74	514.402	1591.74
10	24.3752	9205.47	692.583	2000.27
11	25.1726	6880.84	646.112	1826.49
12	18.5473	9746.44	757.405	2223.81
13	18.9911	8427.82	695.14	2007.18
14	23.4665	9142.04	780.163	2236.91
15	29.186	9529.93	729.764	2170.44
16	24.174	9376.02	650.681	1956.58
17	32.0275	9092.3	805.857	2320.63
18	21.2296	9874.9	791.53	2282.75
19	30.3914	9613.12	626.624	1842.33
20	26.7927	9402.83	741.446	2158.84
21	34.371	8245.35	636.367	1828.46
22	30.022	7485.91	668.413	1879.38
23	29.6297	6765.49	525.472	1486.42
24	32.6522	8871.14	782.714	2234.71
25	23.404	9237.1	734.826	2160.78
26	27.4941	7474.4	588.016	1667.62
27	30.513	7358.6	522.186	1527.5
28	19.0951	8373.73	709.618	2057.85
29	29.2818	7102.03	555.567	1572.47
30	27.1235	7609.79	613.887	1732
