runId	fit_min	fit_max	fit_avg	fit_std
1	936178	2.22606e+009	1.49627e+008	4.8066e+008
2	1.97333e+006	2.72642e+009	8.30149e+007	3.98339e+008
3	883823	1.70245e+009	8.25202e+007	3.1367e+008
4	1.99974e+006	1.81524e+009	1.03538e+008	3.4969e+008
5	1.04055e+006	2.26978e+009	1.20936e+008	4.073e+008
6	1.38779e+006	1.09925e+009	7.41883e+007	2.2163e+008
7	1.65177e+006	1.06015e+009	5.56214e+007	1.8247e+008
8	2.4518e+006	1.54491e+009	8.60689e+007	2.84605e+008
9	1.66349e+006	2.82778e+009	1.43577e+008	5.0266e+008
10	2.68969e+006	1.67865e+009	1.18721e+008	3.62853e+008
11	1.62115e+006	1.76808e+009	7.07805e+007	3.01404e+008
12	1.54609e+006	2.50327e+009	1.47917e+008	4.89901e+008
13	3.20493e+006	3.168e+009	2.00233e+008	6.65371e+008
14	1.02503e+006	2.78483e+009	1.90005e+008	6.02084e+008
15	815696	2.11483e+009	9.50155e+007	3.65698e+008
16	2.2207e+006	1.85826e+009	1.21781e+008	3.7306e+008
17	2.37755e+006	2.24968e+009	1.4432e+008	4.59305e+008
18	2.63413e+006	1.54221e+009	1.09943e+008	3.36253e+008
19	643688	1.45995e+009	8.09621e+007	2.55792e+008
20	2.0657e+006	6.30068e+008	5.15223e+007	1.4441e+008
21	1.68768e+006	1.73054e+009	1.07816e+008	3.46006e+008
22	1.74981e+006	2.7138e+009	1.19478e+008	4.51997e+008
23	3.30203e+006	2.21033e+009	1.07844e+008	3.70762e+008
24	1.5936e+006	1.84029e+009	5.77525e+007	2.64188e+008
25	940254	2.83906e+009	1.51118e+008	5.45314e+008
26	1.60488e+006	2.26139e+009	1.38358e+008	4.9697e+008
27	845097	1.64284e+009	1.09321e+008	3.61979e+008
28	1.04446e+006	7.21541e+008	6.22252e+007	1.77463e+008
29	1.4519e+006	1.18769e+009	8.7922e+007	2.64353e+008
30	2.21996e+006	2.02043e+009	1.1674e+008	4.01295e+008
